# OESM — Dati puliti World Bank — San Marino
# Valori in unità originali (USD per indicatori monetari, % per ratios)
# NON convertiti in EUR — usare script 03 per la conversione
# Generato: 2026-03-23
# Indicatori: 10
# Anni coperti: 1990–2024
# Osservazioni totali: 210
#
country_code,country,year,indicator_id,label_it,label_en,value_original,unit_original,category,eur_convert,source,source_code,source_url,retrieved_date
SMR,San Marino,2021,NE.EXP.GNFS.ZS,Esportazioni (% PIL),Exports of goods & services (% GDP),184.314281544957,% PIL,commercio,False,World Bank,NE.EXP.GNFS.ZS,https://data.worldbank.org/indicator/NE.EXP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2022,NE.EXP.GNFS.ZS,Esportazioni (% PIL),Exports of goods & services (% GDP),197.412351319317,% PIL,commercio,False,World Bank,NE.EXP.GNFS.ZS,https://data.worldbank.org/indicator/NE.EXP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2023,NE.EXP.GNFS.ZS,Esportazioni (% PIL),Exports of goods & services (% GDP),185.992794436005,% PIL,commercio,False,World Bank,NE.EXP.GNFS.ZS,https://data.worldbank.org/indicator/NE.EXP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2015,NE.IMP.GNFS.ZS,Importazioni (% PIL),Imports of goods & services (% GDP),146.911332466153,% PIL,commercio,False,World Bank,NE.IMP.GNFS.ZS,https://data.worldbank.org/indicator/NE.IMP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2016,NE.IMP.GNFS.ZS,Importazioni (% PIL),Imports of goods & services (% GDP),147.077919840142,% PIL,commercio,False,World Bank,NE.IMP.GNFS.ZS,https://data.worldbank.org/indicator/NE.IMP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2017,NE.IMP.GNFS.ZS,Importazioni (% PIL),Imports of goods & services (% GDP),145.071642434811,% PIL,commercio,False,World Bank,NE.IMP.GNFS.ZS,https://data.worldbank.org/indicator/NE.IMP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2018,NE.IMP.GNFS.ZS,Importazioni (% PIL),Imports of goods & services (% GDP),142.890458767935,% PIL,commercio,False,World Bank,NE.IMP.GNFS.ZS,https://data.worldbank.org/indicator/NE.IMP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2019,NE.IMP.GNFS.ZS,Importazioni (% PIL),Imports of goods & services (% GDP),143.267538916062,% PIL,commercio,False,World Bank,NE.IMP.GNFS.ZS,https://data.worldbank.org/indicator/NE.IMP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2020,NE.IMP.GNFS.ZS,Importazioni (% PIL),Imports of goods & services (% GDP),140.424473161793,% PIL,commercio,False,World Bank,NE.IMP.GNFS.ZS,https://data.worldbank.org/indicator/NE.IMP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2021,NE.IMP.GNFS.ZS,Importazioni (% PIL),Imports of goods & services (% GDP),158.155892463004,% PIL,commercio,False,World Bank,NE.IMP.GNFS.ZS,https://data.worldbank.org/indicator/NE.IMP.GNFS.ZS?locations=SM,2026-03-23
SMR,San Marino,2022,NE.IMP.GNFS.ZS,Importazioni (% PIL),Imports of goods & services (% GDP),173.023720494097,% PIL,commercio,False,World Bank,NE.IMP.GNFS.ZS,https://data.worldbank.org/indicator/NE.IMP.GNFS.ZS?locations=SM,2026-03-23
